合约,名称,方向,信号类型,Renko强度,最新价,RSI,最近支撑,最近阻力,Renko详情,强弱总分,强弱判定,突破说明,回调说明,共振说明
SR0,白糖,做多,密集区突破多,0.3167,5300.9,58.82,5293.475,5323.175,向上突破密集区 5256.3500-5271.2000，连续 2 块上涨确认,74,★★★★ 强势,突破近期高点，阳线收盘但量能/影线一般,回调健康：依托 10 周期线运行,多周期共振强势：均线多头排列，短/中期斜率向上
CF0,棉花,做多,密集区突破多,0.2833,16249.0,73.38,16132.0,,向上突破密集区 16105.0000-16159.0000，连续 2 块上涨确认,68,★★★★ 强势,接近近期高点但收阴，突破质量一般,回调中性：方向不鲜明,多周期共振强势：均线多头排列，短/中期斜率向上
PP0,聚丙烯,做多,W底突破,0.6667,7291.4,50.33,7246.025,,W 底突破颈线 7218.8000，左底 7109.9000，右底 7146.2000,65,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调极强：缩量小阴/十字星，低点抬高，稳守 10 周期线上方,价格在 20 周期线上方，中期偏强
AL0,铝,做多,密集区突破多,0.35,22714.0,57.47,22699.75,22870.75,向上突破密集区 22486.0000-22571.5000，连续 2 块上涨确认,65,★★★ 中性偏强,突破近期高点，阳线收盘但量能/影线一般,回调极强：缩量小阴/十字星，低点抬高，稳守 10 周期线上方,价格在 20 周期线上方，中期偏强
V0,PVC,做多,密集区突破多,0.3333,4465.8,54.96,4461.6,4512.0,向上突破密集区 4398.6000-4423.8000，连续 2 块上涨确认,65,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调极强：缩量小阴/十字星，低点抬高，稳守 10 周期线上方,价格在 20 周期线上方，中期偏强
LH0,生猪,做空,趋势回撤空头,0.625,9892.0,38.87,,9902.45,下跌趋势确认后回撤 37.5%，近 2 块下跌砖重启,62,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调健康：依托 10 周期线运行,价格在 20 周期线上方，中期偏强
NI0,镍,做多,密集区突破多,0.4,127130.0,59.69,127016.5,128378.5,向上突破密集区 125314.0000-125995.0000，连续 2 块上涨确认,62,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调健康：依托 10 周期线运行,价格在 20 周期线上方，中期偏强
EB0,苯乙烯,做多,密集区突破多,0.3167,7429.0,60.15,7392.5,,向上突破密集区 7326.8000-7370.6000，连续 2 块上涨确认,60,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调极强：缩量小阴/十字星，低点抬高，稳守 10 周期线上方,价格在 20 周期线上方，中期偏强
JM0,焦煤,做空,密集区突破空,0.3667,1175.3,31.56,,1180.7,向下突破密集区 1196.9000-1207.7000，连续 2 块下跌确认,59,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,多周期共振强势：均线多头排列，短/中期斜率向上
SN0,锡,做多,密集区突破多,0.35,398159.0,58.05,397684.25,,向上突破密集区 390563.0000-393411.5000，连续 2 块上涨确认,59,★★★ 中性偏强,价格在近期区间内震荡，无明确突破信号,回调中性：方向不鲜明,多周期共振强势：均线多头排列，短/中期斜率向上
